"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,2,11,212.6
0.9,0.9,1.4,2,12,274.033333333333
0.9,0.9,1.4,2,13,341.666666666667
0.9,0.9,1.4,2,14,413.766666666667
0.9,0.9,1.4,2,15,494.233333333333
0.9,0.9,1.4,2,16,580.466666666667
0.9,0.9,1.4,2,17,673.766666666667
0.9,0.9,1.4,2,18,777.4
0.9,0.9,1.4,2,19,887.966666666667
0.9,0.9,1.4,2,20,999.7
0.9,0.9,1.4,2,21,1123.36666666667
0.9,0.9,1.4,2,22,1257.2
0.9,0.9,1.4,2,23,1395.46666666667
0.9,0.9,1.4,2,24,1544.2
0.9,0.9,1.4,2,25,1696
0.9,0.9,1.4,2,26,1849.13333333333
0.9,0.9,1.4,2,27,2011.5
0.9,0.9,1.4,2,28,2188.63333333333
0.9,0.9,1.4,2,29,2362.7
0.9,0.9,1.4,2,30,2541.83333333333
0.9,0.9,1.4,2,31,2710.26666666667
0.9,0.9,1.4,2,32,2863.16666666667
0.9,0.9,1.4,2,33,2987.26666666667
0.9,0.9,1.4,2,34,3092
0.9,0.9,1.4,2,35,3178.36666666667
0.9,0.9,1.4,2,36,3243.6
0.9,0.9,1.4,2,37,3276.06666666667
0.9,0.9,1.4,2,38,3279.8
0.9,0.9,1.4,2,39,3267.43333333333
0.9,0.9,1.4,2,40,3235.43333333333
0.9,0.9,1.4,2,41,3183
0.9,0.9,1.4,2,42,3114.76666666667
0.9,0.9,1.4,2,43,3029.36666666667
0.9,0.9,1.4,2,44,2931.23333333333
0.9,0.9,1.4,2,45,2821.9
0.9,0.9,1.4,2,46,2702.96666666667
0.9,0.9,1.4,2,47,2573.23333333333
0.9,0.9,1.4,2,48,2433.46666666667
0.9,0.9,1.4,2,49,2285.5
0.9,0.9,1.4,2,50,2131.83333333333
0.9,0.9,1.4,2,51,1976.46666666667
0.9,0.9,1.4,2,52,1809.8
0.9,0.9,1.4,2,53,1631.16666666667
0.9,0.9,1.4,2,54,1454.4
0.9,0.9,1.4,2,55,1268.53333333333
0.9,0.9,1.4,2,56,1091.2
0.9,0.9,1.4,2,57,919.066666666667
0.9,0.9,1.4,2,58,764.133333333333
0.9,0.9,1.4,2,59,626.8
0.9,0.9,1.4,2,60,501.2
0.9,0.9,1.4,2,61,390.033333333333
0.9,0.9,1.4,2,62,299.566666666667
0.9,0.9,1.4,2,63,225.533333333333
0.9,0.9,1.4,2,64,164.033333333333
0.9,0.9,1.4,2,65,116.766666666667
0.9,0.9,1.4,2,66,80.6333333333333
0.9,0.9,1.4,2,67,54.1
0.9,0.9,1.4,2,68,37.0333333333333
0.9,0.9,1.4,2,69,24.6666666666667
