"BehaviorSpace results (NetLogo 6.2.0)"
"epidemic.nlogo"
"experiment_2"
"02/17/2021 17:10:12:810 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","65","0","65"
"[run number]","density","infectioness","mortality","speed","[step]","infected","cured","dead"
"2","0.9","0.9","1.4","1","69","2010","1443","190"
"1","0.9","0.9","1.4","1","63","2052","1117","129"
"3","0.9","0.9","1.4","1","61","2227","1174","141"
"4","0.9","0.9","1.4","1","65","2186","1300","167"
"1","0.9","0.9","1.4","1","64","2015","1196","136"
"3","0.9","0.9","1.4","1","62","2171","1257","148"
"2","0.9","0.9","1.4","1","70","1973","1519","198"
"1","0.9","0.9","1.4","1","65","2002","1257","143"
"2","0.9","0.9","1.4","1","71","1913","1603","202"
"1","0.9","0.9","1.4","1","66","1961","1331","156"
"2","0.9","0.9","1.4","1","72","1868","1678","207"
"1","0.9","0.9","1.4","1","67","1941","1389","161"
"2","0.9","0.9","1.4","1","73","1782","1765","221"
"1","0.9","0.9","1.4","1","68","1905","1450","171"
"2","0.9","0.9","1.4","1","74","1702","1852","228"
"4","0.9","0.9","1.4","1","66","2148","1379","177"
"1","0.9","0.9","1.4","1","69","1866","1522","177"
"4","0.9","0.9","1.4","1","67","2074","1468","187"
"1","0.9","0.9","1.4","1","70","1836","1589","182"
"1","0.9","0.9","1.4","1","71","1773","1676","192"
"3","0.9","0.9","1.4","1","63","2135","1321","156"
"1","0.9","0.9","1.4","1","72","1710","1764","195"
"3","0.9","0.9","1.4","1","64","2102","1384","165"
"1","0.9","0.9","1.4","1","73","1661","1836","198"
"4","0.9","0.9","1.4","1","68","2021","1536","199"
"2","0.9","0.9","1.4","1","75","1625","1932","238"
"1","0.9","0.9","1.4","1","74","1573","1929","207"
"4","0.9","0.9","1.4","1","69","1974","1598","207"
"3","0.9","0.9","1.4","1","65","2039","1453","174"
"4","0.9","0.9","1.4","1","70","1894","1690","217"
"3","0.9","0.9","1.4","1","66","1980","1527","185"
"2","0.9","0.9","1.4","1","76","1534","2023","247"
"4","0.9","0.9","1.4","1","71","1799","1784","228"
"3","0.9","0.9","1.4","1","67","1888","1620","194"
"2","0.9","0.9","1.4","1","77","1454","2105","257"
"2","0.9","0.9","1.4","1","78","1358","2209","262"
"3","0.9","0.9","1.4","1","68","1813","1706","207"
"4","0.9","0.9","1.4","1","72","1707","1879","233"
"2","0.9","0.9","1.4","1","79","1256","2305","269"
"3","0.9","0.9","1.4","1","69","1728","1796","219"
"2","0.9","0.9","1.4","1","80","1149","2406","278"
"4","0.9","0.9","1.4","1","73","1609","1973","239"
"3","0.9","0.9","1.4","1","70","1651","1877","223"
"1","0.9","0.9","1.4","1","75","1521","2008","215"
"2","0.9","0.9","1.4","1","81","1051","2496","287"
"4","0.9","0.9","1.4","1","74","1513","2065","247"
"3","0.9","0.9","1.4","1","71","1589","1946","231"
"2","0.9","0.9","1.4","1","82","949","2593","292"
"1","0.9","0.9","1.4","1","76","1444","2119","223"
"3","0.9","0.9","1.4","1","72","1512","2028","236"
"2","0.9","0.9","1.4","1","83","863","2675","298"
"4","0.9","0.9","1.4","1","75","1436","2138","253"
"1","0.9","0.9","1.4","1","77","1359","2222","231"
"3","0.9","0.9","1.4","1","73","1411","2134","248"
"2","0.9","0.9","1.4","1","84","767","2761","309"
"2","0.9","0.9","1.4","1","85","684","2837","316"
"4","0.9","0.9","1.4","1","76","1340","2227","261"
"3","0.9","0.9","1.4","1","74","1321","2223","261"
"1","0.9","0.9","1.4","1","78","1277","2313","236"
"2","0.9","0.9","1.4","1","86","612","2904","321"
"3","0.9","0.9","1.4","1","75","1241","2304","269"
"4","0.9","0.9","1.4","1","77","1243","2321","268"
"1","0.9","0.9","1.4","1","79","1191","2396","242"
"2","0.9","0.9","1.4","1","87","537","2977","324"
"3","0.9","0.9","1.4","1","76","1150","2392","277"
"4","0.9","0.9","1.4","1","78","1135","2420","277"
"2","0.9","0.9","1.4","1","88","456","3049","333"
"2","0.9","0.9","1.4","1","89","397","3105","336"
"3","0.9","0.9","1.4","1","77","1055","2481","285"
"4","0.9","0.9","1.4","1","79","1029","2521","283"
"1","0.9","0.9","1.4","1","80","1119","2471","246"
"2","0.9","0.9","1.4","1","90","335","3164","339"
"4","0.9","0.9","1.4","1","80","948","2597","288"
"3","0.9","0.9","1.4","1","78","948","2578","296"
"2","0.9","0.9","1.4","1","91","297","3199","342"
"1","0.9","0.9","1.4","1","81","1029","2556","255"
"4","0.9","0.9","1.4","1","81","855","2684","294"
"3","0.9","0.9","1.4","1","79","835","2688","299"
"2","0.9","0.9","1.4","1","92","256","3237","345"
"4","0.9","0.9","1.4","1","82","765","2766","303"
"3","0.9","0.9","1.4","1","80","739","2776","307"
"4","0.9","0.9","1.4","1","83","666","2856","312"
"1","0.9","0.9","1.4","1","82","943","2639","260"
"3","0.9","0.9","1.4","1","81","646","2865","312"
"2","0.9","0.9","1.4","1","93","221","3271","347"
"4","0.9","0.9","1.4","1","84","600","2917","317"
"1","0.9","0.9","1.4","1","83","863","2714","265"
"2","0.9","0.9","1.4","1","94","189","3299","351"
"3","0.9","0.9","1.4","1","82","551","2957","316"
"4","0.9","0.9","1.4","1","85","508","3000","326"
"3","0.9","0.9","1.4","1","83","459","3046","319"
"4","0.9","0.9","1.4","1","86","437","3064","333"
"2","0.9","0.9","1.4","1","95","162","3326","351"
"3","0.9","0.9","1.4","1","84","392","3109","323"
"4","0.9","0.9","1.4","1","87","363","3134","337"
"2","0.9","0.9","1.4","1","96","120","3367","352"
"1","0.9","0.9","1.4","1","84","801","2772","269"
"4","0.9","0.9","1.4","1","88","294","3202","338"
"3","0.9","0.9","1.4","1","85","333","3165","326"
"2","0.9","0.9","1.4","1","97","91","3395","353"
"3","0.9","0.9","1.4","1","86","292","3204","329"
"4","0.9","0.9","1.4","1","89","234","3258","342"
"4","0.9","0.9","1.4","1","90","176","3313","345"
"3","0.9","0.9","1.4","1","87","249","3246","330"
"2","0.9","0.9","1.4","1","98","67","3416","356"
"1","0.9","0.9","1.4","1","85","727","2842","273"
"4","0.9","0.9","1.4","1","91","138","3347","349"
"3","0.9","0.9","1.4","1","88","214","3281","330"
"2","0.9","0.9","1.4","1","99","55","3427","357"
"4","0.9","0.9","1.4","1","92","103","3382","349"
"3","0.9","0.9","1.4","1","89","179","3312","334"
"2","0.9","0.9","1.4","1","100","48","3434","357"
"1","0.9","0.9","1.4","1","86","656","2912","276"
"4","0.9","0.9","1.4","1","93","81","3403","350"
"3","0.9","0.9","1.4","1","90","155","3333","337"
"2","0.9","0.9","1.4","1","101","39","3443","357"
"4","0.9","0.9","1.4","1","94","54","3429","351"
"1","0.9","0.9","1.4","1","87","610","2954","281"
"3","0.9","0.9","1.4","1","91","132","3354","339"
"2","0.9","0.9","1.4","1","102","26","3454","359"
"4","0.9","0.9","1.4","1","95","38","3445","351"
"3","0.9","0.9","1.4","1","92","113","3369","343"
"1","0.9","0.9","1.4","1","88","541","3014","290"
"4","0.9","0.9","1.4","1","96","26","3457","351"
"2","0.9","0.9","1.4","1","103","12","3467","360"
"1","0.9","0.9","1.4","1","89","492","3059","295"
"2","0.9","0.9","1.4","1","104","8","3470","361"
"3","0.9","0.9","1.4","1","93","92","3386","347"
"1","0.9","0.9","1.4","1","90","449","3097","300"
"4","0.9","0.9","1.4","1","97","15","3468","351"
"2","0.9","0.9","1.4","1","105","6","3472","361"
"1","0.9","0.9","1.4","1","91","398","3143","305"
"2","0.9","0.9","1.4","1","106","3","3474","362"
"4","0.9","0.9","1.4","1","98","13","3470","351"
"1","0.9","0.9","1.4","1","92","349","3192","305"
"3","0.9","0.9","1.4","1","94","81","3395","349"
"4","0.9","0.9","1.4","1","99","11","3472","351"
"2","0.9","0.9","1.4","1","107","2","3474","363"
"1","0.9","0.9","1.4","1","93","318","3222","306"
"4","0.9","0.9","1.4","1","100","8","3474","352"
"1","0.9","0.9","1.4","1","94","283","3255","308"
"2","0.9","0.9","1.4","1","108","1","3475","363"
"3","0.9","0.9","1.4","1","95","70","3406","349"
"1","0.9","0.9","1.4","1","95","243","3291","312"
"2","0.9","0.9","1.4","1","109","1","3475","363"
"1","0.9","0.9","1.4","1","96","210","3320","316"
"2","0.9","0.9","1.4","1","110","1","3475","363"
"3","0.9","0.9","1.4","1","96","59","3417","349"
"1","0.9","0.9","1.4","1","97","175","3352","319"
"4","0.9","0.9","1.4","1","101","6","3476","352"
"3","0.9","0.9","1.4","1","97","44","3432","349"
"1","0.9","0.9","1.4","1","98","149","3378","319"
"2","0.9","0.9","1.4","1","111","1","3475","363"
"3","0.9","0.9","1.4","1","98","33","3443","349"
"4","0.9","0.9","1.4","1","102","4","3478","352"
"1","0.9","0.9","1.4","1","99","131","3396","319"
"3","0.9","0.9","1.4","1","99","22","3454","349"
"4","0.9","0.9","1.4","1","103","2","3480","352"
"2","0.9","0.9","1.4","1","112","1","3475","363"
"3","0.9","0.9","1.4","1","100","14","3462","349"
"1","0.9","0.9","1.4","1","100","104","3421","321"
"3","0.9","0.9","1.4","1","101","7","3469","349"
"1","0.9","0.9","1.4","1","101","72","3452","322"
"4","0.9","0.9","1.4","1","104","2","3480","352"
"3","0.9","0.9","1.4","1","102","4","3471","350"
"1","0.9","0.9","1.4","1","102","43","3481","322"
"2","0.9","0.9","1.4","1","113","1","3475","363"
"4","0.9","0.9","1.4","1","105","1","3481","352"
"3","0.9","0.9","1.4","1","103","2","3473","350"
"1","0.9","0.9","1.4","1","103","24","3500","322"
"2","0.9","0.9","1.4","1","114","1","3475","363"
"3","0.9","0.9","1.4","1","104","2","3473","350"
"4","0.9","0.9","1.4","1","106","1","3481","352"
"2","0.9","0.9","1.4","1","115","1","3475","363"
"3","0.9","0.9","1.4","1","105","1","3473","351"
"1","0.9","0.9","1.4","1","104","18","3505","323"
"4","0.9","0.9","1.4","1","107","1","3481","352"
"3","0.9","0.9","1.4","1","106","1","3473","351"
"2","0.9","0.9","1.4","1","116","1","3475","363"
"4","0.9","0.9","1.4","1","108","1","3481","352"
"3","0.9","0.9","1.4","1","107","0","3474","351"
"2","0.9","0.9","1.4","1","117","1","3475","363"
"4","0.9","0.9","1.4","1","109","0","3482","352"
"2","0.9","0.9","1.4","1","118","0","3476","363"
"1","0.9","0.9","1.4","1","105","11","3512","323"
"1","0.9","0.9","1.4","1","106","7","3516","323"
"1","0.9","0.9","1.4","1","107","5","3518","323"
